Session ID,Start Time,Duration (s),Score,Difficulty
1,Thu Apr 09 18:00:54 EDT 2026,291,200,HARD
2,Thu Apr 09 18:06:38 EDT 2026,61,200,MEDIUM
3,Thu Apr 09 18:13:05 EDT 2026,88,200,HARD
4,Thu Apr 09 18:16:54 EDT 2026,56,200,EASY
5,Thu Apr 09 18:18:36 EDT 2026,92,300,MEDIUM
6,Thu Apr 09 18:22:18 EDT 2026,277,2000,MEDIUM
7,Thu Apr 09 18:27:21 EDT 2026,683,20200,EASY
8,Thu Apr 09 18:39:40 EDT 2026,124,300,HARD
9,Thu Apr 09 18:46:56 EDT 2026,82,200,HARD
10,Thu Apr 09 18:55:01 EDT 2026,351,4200,EASY
11,Thu Apr 09 19:01:58 EDT 2026,234,450,HARD
